planned_unit_id,run_id,original_raw_record_sha256,original_reference_filter_id,original_mapper_filter_id,original_reference_filter_definition_hash,original_mapper_filter_definition_hash,original_same_filter_contract,original_scientific_evidence_eligible,audited_reference_filter_id,audited_mapper_filter_id,audited_reference_filter_definition_sha256,audited_mapper_filter_definition_sha256,same_filter_contract_requalified,scientific_evidence_eligible_requalified,requalification_reason,forensic_proof_id
III-2A__branching_tripod_Y__N1000__L15_P020,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L15_P020__46a8ddbf2e08674c,62fd07ec6700f6007bfce1030e3b0688d9d8cde52f4404b43e8ef8b0937de0ae,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L15_P030,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L15_P030__fe1fb1e0a31428e4,7113f90d1092c7b80447226c037dc84e271662fa7bbb74c817d0b384059558f3,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L15_P040,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L15_P040__2e4872c859aaadf5,ba0b09e117efca75ff20e0e005ba7e9120a1aed3df5a1bdc6ee065a7b7cb8a05,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L15_P050,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L15_P050__1337f662ea636256,e9072bcdb947324f71783e63a088c3bb448d8dc06d3514ec673f00caf5907604,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L20_P010,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L20_P010__a704117732341492,f652cd4d1bd2e480c9ab61ae58c0f5044b9e7b98356be832f9249fa717caa4ce,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L20_P020,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L20_P020__b9010ebebb802521,db39e8a09ed047c64c9a1a08e35e84863061bdf49ed1b3cef3f9b920fbb99999,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L20_P030,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L20_P030__a5d2264d474f1fb5,25be7dbf4a51fe2fefae026ed76d8ffc734d31b8bae1b5a0e5c7f075cfad48d5,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L20_P040,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L20_P040__b43191101e8cbb2c,1c72e286d43954c72b9266f098d9a8dc12ed542a9dc454b9f89cbdee8b032829,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L20_P050,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L20_P050__074f195c60141f09,b13a29761da7866e2fb410d021a248d0193161d850bbfc39c9e5b955d6eec13f,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L25_P010,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L25_P010__b3430459df70aa6c,8e2b5f89417fcf72efdaa4db30b4cc0a37128bfe2497614bee1e4c2e8c77f0a6,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L25_P020,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L25_P020__8cfaac24528f33ff,500ef1f38180d22199b34c2bdf48ad882f796f888748f2834220d2c7b38f546a,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L25_P030,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L25_P030__6eb4814bdaffdd25,8e1e9bcb9038f62ce7bf397b9edc466132a19fb30a42d86994fc89f1aa6c12cc,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L25_P040,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L25_P040__6fdfeb0e676030d3,4d784e86d48c0a621a253bd275482a6a0fcf760472b247cdaa5704cb4088ba7a,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L25_P050,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L25_P050__2437fdf6c9c90c06,e15de89c7ba3af64c3d08ea8d666ee506b4fa061f61d19756160967da7c7ff20,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L05_P010,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L05_P010__c58bbbd06625d16c,de2e4db177f01350dc4213e9f3a6b4158a4de96695b3d11ceade0d5dfff96573,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L05_P020,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L05_P020__bd33accfda1b44c6,f04b39c551601e6028ed20380374a8e1b34b71d332a48291ac73571c9af60881,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L05_P030,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L05_P030__19672b73e6cf872a,eb381fc1d6a8b32f8c8ebbee365f742cfe65bbaaae75bc3c0424eeddc2d8fae3,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L05_P040,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L05_P040__81bac130779318f0,bfd3f1d43516a64f5ecadf197232c3e53bc4292ed08d1998a5da5bdde61aa7df,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L05_P050,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L05_P050__1bde50bc9da172b8,2bea029cda33cc3a3b24d841b1d11d4836b4fec6268bbc2e5d6fa342cfa087aa,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L10_P010,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L10_P010__4a4dfbc774b62759,345bca19e21347f02875c99b61786a8f2b223868ca25e19d293bb1f6547f3052,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L10_P020,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L10_P020__d247bb744f2e8fb3,33d8447327d975f98db54ca635d3b95a9207c59096c8209b6a35731ca8b756e8,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L10_P040,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L10_P040__6ce446baec43e856,5acf39b827fabcbc073cf8b5fffdf67d716b65bd9dc75a9bb2d67478f89ec858,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L10_P050,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L10_P050__161a35395510598f,a49b3e802f324a3b56795b0862189771cd20401d675d990065537f87c3cd5a34,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L15_P010,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L15_P010__466c5fa97d9f5e3b,0ba2f23862e82d7dbaeaf0740226ae0e964ed822b1ddfd6b8db08d1f1f64b083,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L15_P020,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L15_P020__46a8ddbf2e08674c,97d8249eccd85253b15a110bd8f89e1c4ffd118102d06e0355d399085c394813,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L15_P030,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L15_P030__fe1fb1e0a31428e4,f3c1e764c4b7f9a442b9d552eaef099d3df4af939b16132f7d0b9b8281c6a3de,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L15_P040,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L15_P040__2e4872c859aaadf5,46678fd7da13b56927670c796002814cea830a6e64c9b6b259f505b1c9f40676,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L15_P050,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L15_P050__1337f662ea636256,d4466b53be446e5e7ece90826d1c2b99229d32cc28201627e0b24b6fb0e6f892,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L20_P010,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L20_P010__a704117732341492,f64b596eef17b4c75f088f22de1cf1b079f9ec651ff045d23daef32f8759c66b,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L20_P020,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L20_P020__b9010ebebb802521,fc841d348fd580494c2be0985b368511b6b75acbfd35c353e7ce96680188eadd,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L20_P030,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L20_P030__a5d2264d474f1fb5,6e2e87b4349bd7c6c8f690c617622ff6a148d4cd9a7195f840c0a0b555f8a7f9,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L20_P040,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L20_P040__b43191101e8cbb2c,91b4c03059d0921bad40dff620d12497a99990cdf2c115edbcc4e8ea5fc66d43,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__unit_circle_S1__N1000__L20_P050,III-2A_Circle_Cover_Landscape__unit_circle_S1__N1000__rep0__L20_P050__074f195c60141f09,8006ef226605d576591cabff11a70dd75c7b82ed751a102fff3107f508eb3850,circle_height_y,circle_height_y,height,height,False,False,circle_height_y,circle_height_y,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,d784b8d86fb471649c90278087fec52270cf927c76bf862758e183e20f42b78d,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
