shared_construction_id,mapper_run_id,axis1_record_id,axis2_record_id,membership_payload_hash,dataset_hash,sigma,replicate_id,status,pullback_identity_match,linkage_valid
b85faf1be0519d19991651633f3447e0e8381db736a05e7b8b4bcad7a230755d,N1_C_DIGITS__conventional__sigma_0.01__rep07,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep07,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep07,ce198be780e1f0893e27c62f278425d486f4ba8a8eb31f68e9c22b4f9d7f3fca,b4824487d4460b1ab23901d9c7cea53ed24e079d9dcd8a7aa1e483196a4a88e1,0.01,7,success,True,True
f3e2b7e34f181a862cde9589c6c8c495495795a4458faf863714c412dda05342,N1_C_DIGITS__f_mapper__sigma_0.01__rep07,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep07,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep07,,b4824487d4460b1ab23901d9c7cea53ed24e079d9dcd8a7aa1e483196a4a88e1,0.01,7,fcm_non_convergence,True,True
dcc7fa352434dc01ba2c70f406b3fdd033fb568957758ba1591f8c3d44f25e1e,N1_C_DIGITS__conventional__sigma_0.01__rep08,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep08,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep08,199024a4ceb93ef7541db2283d7a0b33635cfb76da317c242ca47783ff34d01d,503fc6a6c66aed0e8ed80cd08f36ab293fd7f040198e480bd70c07ace2d30a19,0.01,8,success,True,True
71b5f48ca51a48a5da149f05a6dea20415c8e7196e235a56fb3c94215967f7a7,N1_C_DIGITS__f_mapper__sigma_0.01__rep08,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep08,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep08,11ee79febb4b27befe7750c5b9e7c189c73aafbe7c9d89beaffd64609f161ed2,503fc6a6c66aed0e8ed80cd08f36ab293fd7f040198e480bd70c07ace2d30a19,0.01,8,success,True,True
96ea235bd93ec8bad1abf312c3ccd9f1f9f23b9eca9bd42d6d113f3c32424213,N1_C_DIGITS__conventional__sigma_0.01__rep09,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep09,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep09,9d209f03c54e436488657d293c5439cdc369b2a758f54bc7ad071c0d4f4a5bf0,885e0abd7f5397d8eb68364e01e7926167051457791df33645edcb9ebe344240,0.01,9,success,True,True
46af6482b3df440e8d0cef9bbe8d39f36267693a261651561add23ff3255e137,N1_C_DIGITS__f_mapper__sigma_0.01__rep09,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep09,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep09,,885e0abd7f5397d8eb68364e01e7926167051457791df33645edcb9ebe344240,0.01,9,fcm_non_convergence,True,True
3dcda6e76d6b6fa70fd8200a9a1daafe58be91d5523d566033c30ae4a9830f72,N1_C_DIGITS__conventional__sigma_0.01__rep10,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep10,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep10,cc56c23867849e4334caf4916d0722129f961f57552427c5a598852371a83e5e,ad946e4abcf199ee74fe71f06a45438eef9a5463e52376a0275a34ba887180de,0.01,10,success,True,True
a1bddfd8b1bb62d7d0c7d61123d1f48a82010829076fca72ca933e64f65aceec,N1_C_DIGITS__f_mapper__sigma_0.01__rep10,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep10,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep10,,ad946e4abcf199ee74fe71f06a45438eef9a5463e52376a0275a34ba887180de,0.01,10,fcm_non_convergence,True,True
ad7ee082789736aab6c35192b18328b4e64a1dcdd8838fd4026f30e2253a9485,N1_C_DIGITS__conventional__sigma_0.01__rep11,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep11,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep11,c64d92cd81da5d237667e16b8e3f3621e4f9a09e1fb00624d718e6cf35d0a4f5,b5c59b709a7e8987488eba6b7a511a2a277e4537eb8badcc21e6a872c6748099,0.01,11,success,True,True
86e63d98d99d8760e4205908edd2189f21205f86beed90c153662df425c403be,N1_C_DIGITS__f_mapper__sigma_0.01__rep11,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep11,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep11,,b5c59b709a7e8987488eba6b7a511a2a277e4537eb8badcc21e6a872c6748099,0.01,11,fcm_non_convergence,True,True
bb21e65678285e56433e2f50a00b96a954372990b3251491140e5c086a506179,N1_C_DIGITS__conventional__sigma_0.01__rep12,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep12,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep12,cf5db8fbe1cad15943f98500af13b271479c24287f07e91333cb931d157c51b1,65a6735e66dafa50fa1e73885681b16f5ded4234bc20d14d40b9f5dce54d075d,0.01,12,success,True,True
2ab83b34c571cd083a344eafe9cf3b9d3e5d5ee3da4ab0e10cf461ecbf2e7d19,N1_C_DIGITS__f_mapper__sigma_0.01__rep12,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep12,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep12,48ac8cf704ab388b7f11bc9cac473cb4de91dca235f00fbab050a3964b8f819a,65a6735e66dafa50fa1e73885681b16f5ded4234bc20d14d40b9f5dce54d075d,0.01,12,success,True,True
054cab20be8a41f7d0b73a5af75e7f4c59c9a74265415689a510d72cd48e667e,N1_C_DIGITS__conventional__sigma_0.01__rep13,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep13,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep13,953a79687199aa98d46547e28de9a0f1b5493af569dc783daeaba7073c8a7bdf,5a1ba328fbf1e323ba7b0b3684af35c1088758d5937cd0e9ee12cafddc356b32,0.01,13,success,True,True
ec91555d786527de0267b8444be546829e4e611dc29a3b16073da503c8336267,N1_C_DIGITS__f_mapper__sigma_0.01__rep13,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep13,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep13,,5a1ba328fbf1e323ba7b0b3684af35c1088758d5937cd0e9ee12cafddc356b32,0.01,13,fcm_non_convergence,True,True
49ff82dc705149d2d2a02c50fd5a0a53dec04b15092087277cfec988140ebc4a,N1_C_DIGITS__conventional__sigma_0.01__rep14,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep14,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep14,8cc0b9cb256141e9303e4819dfeb99bbae5a75f28ac6e376cca34e009200f67d,ca60b9bed277e863f6b6ceffbfc262c2ad230b1a190630bcb717e7b07c83d49d,0.01,14,success,True,True
aa0a617af7e22980cc622beae7680d8debe484515717adcc9f87bcea3434b13b,N1_C_DIGITS__f_mapper__sigma_0.01__rep14,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep14,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep14,7989be4f56eb0f50c89752c306ce65234413bed7ede416ff980cf01fc5553f91,ca60b9bed277e863f6b6ceffbfc262c2ad230b1a190630bcb717e7b07c83d49d,0.01,14,success,True,True
7dbf4c2dbbbcb648349452be46c4b98b4b4171dd5752d86fb6a1e56f02481b37,N1_C_DIGITS__conventional__sigma_0.01__rep15,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep15,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep15,af2d56ab1fc2f0e8ab092fb65631049dafb334361a5e7a64ba608c6cdb0dbeb0,dd94196e46f34017f44fac0da601256ce08875e5661e0c949f50e17a26347f22,0.01,15,success,True,True
9e1e20f8cd9a27dc0a7d1492d318a487a24b65dfebff4a921d9cdb52b96b936c,N1_C_DIGITS__f_mapper__sigma_0.01__rep15,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep15,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep15,,dd94196e46f34017f44fac0da601256ce08875e5661e0c949f50e17a26347f22,0.01,15,fcm_non_convergence,True,True
f60ad3867797ef7077e84ed37b9df1b25626d876e846f7c7a800aed03f75b486,N1_C_DIGITS__conventional__sigma_0.01__rep16,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep16,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep16,efebdb14450087989dbe20035c88c51e419793f9713f8bc230be9d0cd500c1e3,2da4cdbbd20721d73a43d4d9cb6de313d45fb12bb000d3418493277e10b1d00d,0.01,16,success,True,True
d281fe14ee7d3eeea49cbb9a7404c8ddfa94e486131b1f397e3c829d38931503,N1_C_DIGITS__f_mapper__sigma_0.01__rep16,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep16,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep16,,2da4cdbbd20721d73a43d4d9cb6de313d45fb12bb000d3418493277e10b1d00d,0.01,16,fcm_non_convergence,True,True
ba9d7d66dba0919dcc7109cef99f5dfdb3444d63ea3aed8396c2e1e6d3c8cf30,N1_C_DIGITS__conventional__sigma_0.01__rep17,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep17,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep17,188e9532449c549b3ae084cd569fb89afb27994bb2bdc759b76b323681e1f8ee,0f5d652fbc798785e9a2a0e7fd6331dfee73ebf70d331c660f22f303b0f9b9e3,0.01,17,success,True,True
5b70724d7bbafc83dfea8406618a0290ce60b056624912481da5e5fdc3f41751,N1_C_DIGITS__f_mapper__sigma_0.01__rep17,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep17,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep17,8c3554f40223ec85ee72fcc507669319101b902fb2a77e64aa98c9aac5cdf129,0f5d652fbc798785e9a2a0e7fd6331dfee73ebf70d331c660f22f303b0f9b9e3,0.01,17,success,True,True
60a64c4881092c2df966ef95457895f62e51c719e4dfd7504b2ece1110a9bcf7,N1_C_DIGITS__conventional__sigma_0.01__rep18,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep18,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep18,73946376ff1bf7ca931d4a7bfe68bc344f1958b5c846285814b3ab0a04376c73,1c4e85cf745af8ff325f2f4caf056ea3f84fab6f332ced08b1574fa6505cb6c9,0.01,18,success,True,True
ca19d596a197f04a915c0adb81152d3991f4b3b2c841730c7e2e660effc0a41a,N1_C_DIGITS__f_mapper__sigma_0.01__rep18,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep18,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep18,,1c4e85cf745af8ff325f2f4caf056ea3f84fab6f332ced08b1574fa6505cb6c9,0.01,18,fcm_non_convergence,True,True
b9fddda9466638336548bfeb629b68d2e35e74810813cac55ae53f5ff6b61877,N1_C_DIGITS__conventional__sigma_0.01__rep19,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep19,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep19,e8c0ac4e1370d2af5e36cbf483bc3632db319a978f40c06c44b3ce6790f15647,2a1be71df9c4e5dd809867e70b38a5fd68e1b5883ef3d1b35648096b002fa73b,0.01,19,success,True,True
13a9ab264c98c01cbf2e79910fa252f393fedabf55324486a262f468ab335683,N1_C_DIGITS__f_mapper__sigma_0.01__rep19,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep19,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep19,,2a1be71df9c4e5dd809867e70b38a5fd68e1b5883ef3d1b35648096b002fa73b,0.01,19,fcm_non_convergence,True,True
db6f2f7f924ae8d55c437d3ae342f03a756eab07a89936a1461d52c98ade365d,N1_C_DIGITS__conventional__sigma_0.01__rep20,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep20,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep20,3d4b82933d5312f1d6099b76ab70481d70cb90712312a47d21d8c4ef7e2e0d45,34b8c2b8938d8770cf24b8c1c5ebd8198d5495251d34a0be2f99a4cbeac8f523,0.01,20,success,True,True
bdf3989fc0f7f2873273c0157b9c424a596b53d8ff279d6dcd760da7fd0325d9,N1_C_DIGITS__f_mapper__sigma_0.01__rep20,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep20,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep20,,34b8c2b8938d8770cf24b8c1c5ebd8198d5495251d34a0be2f99a4cbeac8f523,0.01,20,fcm_non_convergence,True,True
a7222d3a4bea4cf533160a11679bc4e7a809e9c8ab4d4f5dc680d4d715ccd147,N1_C_DIGITS__conventional__sigma_0.01__rep21,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep21,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep21,676b53a381ef553b3bcce824f2caca52a46aec152ca49701f3112cb8f587bc61,c1a8603e50ed7893d52c4b0db5d44622a504e1a133161342b1ed23c01b3d84ab,0.01,21,success,True,True
61a3964ee9c8ea3cd71148ebdcf3f12f4ea995854766dbdb544fd755899feb3e,N1_C_DIGITS__f_mapper__sigma_0.01__rep21,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep21,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep21,,c1a8603e50ed7893d52c4b0db5d44622a504e1a133161342b1ed23c01b3d84ab,0.01,21,fcm_non_convergence,True,True
2508e4d1b3c8587e804d5d5a973cca1902d256ffb096f7e0767c8a0d9f350f16,N1_C_DIGITS__conventional__sigma_0.01__rep22,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep22,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep22,21a585db92db7c80d75061d17f8feab2dba3206d5843a416cf774272263df283,236281019188faebeb5d24bae5efd159f3b1686f19f78b14cee67a5e4b416eea,0.01,22,success,True,True
a0b24f7667018bb2e8ff8a2ae29c65cb08785310e26e3cdc316044a3bc8d674b,N1_C_DIGITS__f_mapper__sigma_0.01__rep22,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep22,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep22,,236281019188faebeb5d24bae5efd159f3b1686f19f78b14cee67a5e4b416eea,0.01,22,fcm_non_convergence,True,True
d1d0ebb6a97d76abd53ca8affbd85fc81e8fb0ae55b32da032a94a446de86fba,N1_C_DIGITS__conventional__sigma_0.01__rep23,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep23,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep23,3d861fb8d8809a315a0547ba8c9ce4a9d8185b41c01b968b237547e1d26525ea,0e9e0ef66305baf74ced0b7962ddf3078d96008dafbf6c5ade4dcb593fbbc562,0.01,23,success,True,True
11824da6c8a24be1bed4c4c1d3e7a556beba82f712a9fcf21dac4dc181995c9d,N1_C_DIGITS__f_mapper__sigma_0.01__rep23,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep23,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep23,,0e9e0ef66305baf74ced0b7962ddf3078d96008dafbf6c5ade4dcb593fbbc562,0.01,23,fcm_non_convergence,True,True
717d9eb424a7da8df1592b82c2b489f26a620100383911357187811e84d393c5,N1_C_DIGITS__conventional__sigma_0.01__rep24,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep24,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep24,8f619667683212702901dce3eca325e531dfdc8493b2efb3f45d7ad365993995,63d09c6bf0a840669f2dc4bd7402cd90c87c734235e1265413cf3cf1e92ff8ba,0.01,24,success,True,True
df3de811cea0e643c7699612d4f27d05b6a55b84c823ae0c282c443e9388f001,N1_C_DIGITS__f_mapper__sigma_0.01__rep24,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep24,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep24,,63d09c6bf0a840669f2dc4bd7402cd90c87c734235e1265413cf3cf1e92ff8ba,0.01,24,fcm_non_convergence,True,True
0c40d7e325daa12fbff474953c2f2bf8e3949da161cd380507880c3dad477416,N1_C_DIGITS__conventional__sigma_0.01__rep25,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep25,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep25,7b43c56c5201d4969bd980cc48935778ef382eaf7e1425c0f8d28570cc0b36d3,d6b534ac84f41f0fb1b0f756b9fa9349ac81e852f56c2d160389762934bcb28b,0.01,25,success,True,True
f94a3a1f4c68071920c4899893565c5fb95eb657571b8b258c8871d9edbc51ca,N1_C_DIGITS__f_mapper__sigma_0.01__rep25,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep25,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep25,fecf7da297d8ec5a269228aaef01b926ebe2a2261677c0637eeffefc0d6f4d16,d6b534ac84f41f0fb1b0f756b9fa9349ac81e852f56c2d160389762934bcb28b,0.01,25,success,True,True
f4721560ddcd233df1e3d5cc6a4aae6cb6f5f1bb7cc1a01c929f9081b9362084,N1_C_DIGITS__conventional__sigma_0.01__rep26,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep26,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep26,604e3fa6d3ea4be51c0a649cc1741cfa875743b4d8f5c6f76b403c30ae5a22e0,df1cc96ab542c037f3547da054b00211ac7ce783ff01a0bcfd139e6404e27cd2,0.01,26,success,True,True
cbe27bad17f94ce49b074593e32ccca38aaed3e7982ca2fc7fb6d2964dbc2795,N1_C_DIGITS__f_mapper__sigma_0.01__rep26,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep26,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep26,8afe77324279c136b00c05a01368092634205cb752b81d1a358bf22479fc2f7a,df1cc96ab542c037f3547da054b00211ac7ce783ff01a0bcfd139e6404e27cd2,0.01,26,success,True,True
7955ff2e0efca0f65e2e268800a88bb371b82badd43230e25d93e609808dc30f,N1_C_DIGITS__conventional__sigma_0.01__rep27,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep27,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep27,1782af26cb0067c4a6a6b81ce22dba71fe3be5f6a7b9450ab08d5c58a071528c,5b940779a009d76446c0ff78dc777b644efebdc732fe866a43b444f83296af49,0.01,27,success,True,True
54fb3b10eeac0905ec8977fa60009be43f5a87eca1d63ee8e763af19745c27fb,N1_C_DIGITS__f_mapper__sigma_0.01__rep27,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep27,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep27,,5b940779a009d76446c0ff78dc777b644efebdc732fe866a43b444f83296af49,0.01,27,fcm_non_convergence,True,True
f7085a46d499ffcf252b69a3c47b6980552e3898d750f74c76a796688e567c1c,N1_C_DIGITS__conventional__sigma_0.01__rep28,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep28,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep28,ce8733f10a10fe5f585beb9ccc2556d46416643612b5cdb10d5dabbe11de3014,7a0e867fa62039d0a72c45c4cff5376ba02ef3640483b5fc32b0afa9c9fd1ce1,0.01,28,success,True,True
1563ea374d1c2aa2993e6e2b081e460720508e9c8a107eb8b1765a459634c24c,N1_C_DIGITS__f_mapper__sigma_0.01__rep28,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep28,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep28,,7a0e867fa62039d0a72c45c4cff5376ba02ef3640483b5fc32b0afa9c9fd1ce1,0.01,28,fcm_non_convergence,True,True
6097b8dd3451fc8248ceacf940a5e8d1496f24c5397aaab336d54b2a892c9227,N1_C_DIGITS__conventional__sigma_0.01__rep29,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep29,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep29,41163166372f14fe0e91c2aaf73e228ebd298001c92a96bc6bc0d7d8fbfb2afd,4b5e76d401ac256c585e5f0c1e9bfe86ba6c9f32c8969864d66f960b530e93f1,0.01,29,success,True,True
75f7da03dd62642a8ad659b99394bbc42a32c85e4fd93d6a3980210fc0bae306,N1_C_DIGITS__f_mapper__sigma_0.01__rep29,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep29,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep29,5bc3f291f1f8dc28c0c7f5302f650794a755197a36ae4e2484153621da06b25f,4b5e76d401ac256c585e5f0c1e9bfe86ba6c9f32c8969864d66f960b530e93f1,0.01,29,success,True,True
0632d2fd49933388e231a66ba7a9504c9554bf71f616e67d6bd8bc12fd7a7d8f,N1_C_DIGITS__conventional__sigma_0.01__rep30,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep30,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep30,5af5355d93e0b533ac92eeee82288a243a6a6e367502fd5b4e3c2c5b61c4aa21,aec24163e1dd632b7a30a17be2d81de2903f76722d1a4294f9323e13fcc8d491,0.01,30,success,True,True
